who,pro_com,selectedhospitalemp,selectedhospital,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
418,51002,48,60,false,0,50,-10,0,10,false,0,0,false
419,51002,48,61,false,0,50,-10,0,10,false,0,0,false
420,51002,48,48,false,0,50,-10,0,10,false,0,0,false
421,51002,48,61,false,0,50,-10,0,10,false,0,0,false
422,51002,48,50,false,0,50,-10,0,10,false,0,0,false
423,51002,48,60,false,0,50,-10,0,10,false,0,0,false
424,51002,48,63,false,0,50,-10,0,10,false,0,0,false
425,51002,48,63,false,0,50,-10,0,10,false,0,0,false
426,51002,48,48,false,0,50,-10,0,10,false,0,0,false
427,51002,48,50,false,0,50,-10,0,10,false,0,0,false
428,51002,48,61,false,0,50,-10,0,10,false,0,0,false
429,51002,48,61,false,0,50,-10,0,10,false,0,0,false
430,51002,48,61,false,0,50,-10,0,10,false,0,0,false
431,51002,48,48,false,0,50,-10,0,10,false,0,0,false
432,51002,48,50,false,0,50,-10,0,10,false,0,0,false
433,51002,48,61,false,0,50,-10,0,10,false,0,0,false
434,51002,48,48,false,0,50,-10,0,10,false,0,0,false
435,51002,48,48,false,0,50,-10,0,10,false,0,0,false
436,51002,48,60,false,0,50,-10,0,10,false,0,0,false
437,51002,48,48,false,0,50,-10,0,10,false,0,0,false
438,51002,48,60,false,0,50,-10,0,10,false,0,0,false
439,51002,48,48,false,0,50,-10,0,10,false,0,0,false
440,51002,48,58,false,0,50,-10,0,10,false,0,0,false
441,51002,48,50,false,0,50,-10,0,10,false,0,0,false
442,51002,48,48,false,0,50,-10,0,10,false,0,0,false
443,51002,48,61,false,0,50,-10,0,10,false,0,0,false
444,51002,48,50,false,0,50,-10,0,10,false,0,0,false
445,51002,48,60,false,0,50,-10,0,10,false,0,0,false
446,51002,48,60,false,0,50,-10,0,10,false,0,0,false
447,51002,48,50,false,0,50,-10,0,10,false,0,0,false
448,51002,48,60,false,0,50,-10,0,10,false,0,0,false
449,51002,48,50,false,0,50,-10,0,10,false,0,0,false
450,51002,48,61,false,0,50,-10,0,10,false,0,0,false
451,51002,48,60,false,0,50,-10,0,10,false,0,0,false
452,51002,48,55,false,0,50,-10,0,10,false,0,0,false
453,51002,48,60,false,0,50,-10,0,10,false,0,0,false
454,51002,48,60,false,0,50,-10,0,10,false,0,0,false
455,51002,48,50,false,0,50,-10,0,10,false,0,0,false
456,51002,48,50,false,0,50,-10,0,10,false,0,0,false
457,51002,48,48,false,0,50,-10,0,10,false,0,0,false
458,51002,48,61,false,0,50,-10,0,10,false,0,0,false
459,51002,48,48,false,0,50,-10,0,10,false,0,0,false
460,51002,48,61,false,0,50,-10,0,10,false,0,0,false
461,51002,48,60,false,0,50,-10,0,10,false,0,0,false
462,51002,48,58,false,0,50,-10,0,10,false,0,0,false
463,51002,48,50,false,0,50,-10,0,10,false,0,0,false
464,51002,48,48,false,0,50,-10,0,10,false,0,0,false
465,51002,48,50,false,0,50,-10,0,10,false,0,0,false
466,51002,48,50,false,0,50,-10,0,10,false,0,0,false
467,51002,48,50,false,0,50,-10,0,10,false,0,0,false
468,51002,48,60,false,0,50,-10,0,10,false,0,0,false
469,51002,48,48,false,0,50,-10,0,10,false,0,0,false
470,51002,48,48,false,0,50,-10,0,10,false,0,0,false
471,51002,48,50,false,0,50,-10,0,10,false,0,0,false
472,51002,48,61,false,0,50,-10,0,10,false,0,0,false
473,51002,48,50,false,0,50,-10,0,10,false,0,0,false
474,51002,48,58,false,0,50,-10,0,10,false,0,0,false
475,51002,48,50,false,0,50,-10,0,10,false,0,0,false
476,51002,48,50,false,0,50,-10,0,10,false,0,0,false
477,51002,48,60,false,0,50,-10,0,10,false,0,0,false
478,51002,48,50,false,0,50,-10,0,10,false,0,0,false
479,51002,48,50,false,0,50,-10,0,10,false,0,0,false
480,51002,48,63,false,0,50,-10,0,10,false,0,0,false
481,51002,48,50,false,0,50,-10,0,10,false,0,0,false
482,51002,48,61,false,0,50,-10,0,10,false,0,0,false
483,51002,48,48,false,0,50,-10,0,10,false,0,0,false
484,51002,48,50,false,0,50,-10,0,10,false,0,0,false
485,51002,48,63,false,0,50,-10,0,10,false,0,0,false
486,51002,48,61,false,0,50,-10,0,10,false,0,0,false
487,51002,48,50,false,0,50,-10,0,10,false,0,0,false
488,51002,48,48,false,0,50,-10,0,10,false,0,0,false
489,51002,48,61,false,0,50,-10,0,10,false,0,0,false
490,51002,48,50,false,0,50,-10,0,10,false,0,0,false
491,51002,48,61,false,0,50,-10,0,10,false,0,0,false
492,51002,48,48,false,0,50,-10,0,10,false,0,0,false
493,51002,48,60,false,0,50,-10,0,10,false,0,0,false
494,51002,48,50,false,0,50,-10,0,10,false,0,0,false
495,51002,48,50,false,0,50,-10,0,10,false,0,0,false
496,51002,48,63,false,0,50,-10,0,10,false,0,0,false
497,51002,48,48,false,0,50,-10,0,10,false,0,0,false
498,51002,48,63,false,0,50,-10,0,10,false,0,0,false
499,51002,48,48,false,0,50,-10,0,10,false,0,0,false
500,51002,48,60,false,0,50,-10,0,10,false,0,0,false
501,51002,48,50,false,0,50,-10,0,10,false,0,0,false
502,51002,48,60,false,0,50,-10,0,10,false,0,0,false
503,51002,48,48,false,0,50,-10,0,10,false,0,0,false
504,51002,48,60,false,0,50,-10,0,10,false,0,0,false
505,51002,48,63,false,0,50,-10,0,10,false,0,0,false
