51016,15,95,167,51,76,47,90,54,23,63,60,63,79,98,95,112,40,27,104
51017,33,124,172,78,105,52,95,83,52,69,89,92,108,127,124,140,68,56,132
51018,30,109,157,63,90,37,80,68,37,54,74,77,93,112,109,125,53,41,117
51020,25,87,165,44,68,53,96,47,12,50,53,56,72,91,87,104,32,20,96
51021,27,106,153,60,87,33,76,65,34,50,71,74,90,109,106,122,50,38,114
51022,22,101,158,57,82,39,81,60,29,55,66,69,85,104,101,117,46,33,109
51023,47,99,177,45,80,77,123,59,49,62,65,68,84,103,99,116,36,36,108
51024,23,117,191,72,98,71,114,77,45,88,83,86,102,121,117,134,62,49,126
51025,23,100,159,57,81,40,82,60,28,56,66,68,85,104,100,117,45,32,109
51026,29,84,163,41,65,44,86,44,0,46,50,52,69,88,84,101,29,16,93
51027,33,114,204,60,95,84,127,74,50,77,80,83,99,118,114,131,54,51,123
51030,38,132,206,87,113,86,129,92,60,103,98,101,117,136,132,149,77,65,141
51031,34,108,186,54,89,86,128,68,51,70,73,76,93,112,108,125,48,45,117
51033,27,83,160,39,64,45,94,42,8,45,48,51,67,86,83,100,28,15,92
51034,31,126,199,80,107,79,122,85,54,96,91,94,110,129,126,142,70,58,134
51035,69,164,237,118,145,117,160,123,92,134,129,132,148,167,164,181,108,96,172
51037,14,109,188,64,90,68,111,69,39,71,74,77,94,113,109,126,54,41,118
51038,21,107,186,62,88,66,109,67,32,70,73,76,92,111,107,124,52,39,116
51039,26,81,159,38,62,46,89,41,6,44,47,49,66,85,81,98,26,13,90
51040,37,83,161,40,64,60,103,43,19,46,49,52,68,87,83,100,28,14,92
51041,40,103,181,49,84,92,135,63,53,65,69,71,88,107,103,120,40,40,112
51042,19,97,168,54,78,47,90,57,17,64,63,66,82,101,97,114,42,29,106
52001,74,152,145,107,134,66,68,112,80,81,118,121,137,156,155,169,97,85,160
52002,44,113,147,69,94,27,70,77,45,44,80,86,102,121,113,134,67,55,125
52003,60,110,137,66,91,26,60,74,58,41,77,83,99,118,110,131,64,71,122
52004,83,76,120,45,60,28,65,53,69,20,58,62,78,100,76,110,43,48,104
52005,57,85,146,36,66,22,69,43,34,15,50,52,68,87,85,100,33,39,91
52006,47,103,137,59,84,17,60,67,33,34,70,76,92,111,103,124,58,46,115
52007,64,131,144,88,112,47,67,95,71,62,99,104,120,139,131,152,88,75,144
52008,48,127,179,82,108,59,102,86,55,76,92,95,111,130,127,144,72,59,135
52009,47,126,169,81,107,58,91,86,54,75,91,94,111,130,126,143,71,58,134
52010,83,100,94,66,90,38,51,73,70,40,77,82,98,119,103,130,63,69,123
52011,40,119,171,74,100,51,94,78,47,68,84,87,103,122,119,136,64,51,127
52012,75,78,128,35,59,20,66,43,50,9,46,51,68,87,79,100,32,38,91
